000776	证券Ⅲ
000777	金属制品
000778	钢铁管材
000779	工程咨询服务Ⅲ
000780	动力煤
000782	锦纶
000783	证券Ⅲ
000785	商业物业经营
000786	其他建材Ⅲ
000788	化学制剂
000789	水泥制造
000790	中药Ⅲ
000791	水力发电
000792	钾肥
000793	大众出版
000795	磁性材料
000796	旅游综合
000797	住宅开发
000798	海洋捕捞
000799	白酒Ⅲ
000800	商用载货车
000801	其他黑色家电
000802	影视动漫制作
000803	电能综合服务
000806	输变电设备
000807	铝
000809	住宅开发
000810	其他黑色家电
000811	制冷空调设备
000812	纸包装
000813	化学制剂
000815	大宗用纸
000816	底盘与发动机系统
000818	氯碱
000819	其他石化
000820	固废治理
000821	印刷包装机械
000822	纯碱
000823	印制电路板
000825	特钢Ⅲ
000826	综合环境治理
000828	高速公路
000829	专业连锁Ⅲ
000830	煤化工
000831	稀土
000833	综合Ⅲ
000835	游戏Ⅲ
000836	通信线缆及配套
000837	机床工具
000838	住宅开发
000839	综合Ⅲ
000848	软饮料
000850	棉纺
000851	通信网络设备及器件
000852	能源及重型设备
000856	其他专用设备
000858	白酒Ⅲ
000859	膜材料
000860	白酒Ⅲ
000861	商业物业经营
000862	风力发电
000863	住宅开发
000868	商用载客车
000869	其他酒类
000875	电能综合服务
000876	生猪养殖
000877	水泥制造
000878	铜
000880	底盘与发动机系统
000881	其他化学制品
000882	百货
000883	电能综合服务
000885	高速公路
000886	高速公路
000887	其他汽车零部件
000888	自然景区
000889	通信工程及服务
000890	金属制品
000892	影视动漫制作
000893	钾肥
000895	肉制品
000897	住宅开发
000898	板材
000899	火力发电
000900	高速公路
000901	军工电子Ⅲ
000902	复合肥
000903	底盘与发动机系统
000905	港口
000906	原材料供应链服务
000908	化学制剂
000909	住宅开发
000910	瓷砖地板
000911	其他农产品加工
000912	氮肥
000913	摩托车
000915	化学制剂
000917	电视广播Ⅲ
000918	住宅开发
000919	中药Ⅲ
000920	水务及水治理
000921	空调
000922	电机Ⅲ
000923	铁矿石
000925	轨交设备Ⅲ
000926	住宅开发
000927	综合乘用车
000928	国际工程
000929	啤酒
000930	其他农产品加工
000931	化学制剂
000932	板材
000933	铝
000935	水泥制造
000936	涤纶
000937	焦煤
000938	IT服务Ⅲ
000948	垂直应用软件
000949	氨纶
000950	医药流通
000951	商用载货车
000952	原料药
000953	氮肥
000955	其他纺织
000957	商用载客车
000958	火力发电
000959	板材
000960	其他小金属
000961	住宅开发
000962	其他小金属
000963	化学制剂
000965	住宅开发
000966	火力发电
000967	环保设备Ⅲ
000968	油气开采Ⅲ
000969	其他金属新材料
000970	磁性材料
000971	通信应用增值服务
000972	果蔬加工
000973	膜材料
000975	黄金
000976	轨交设备Ⅲ
000977	其他计算机设备
000978	自然景区
000980	汽车电子电气系统
000981	住宅开发
000982	其他纺织
000983	焦煤
000985	其他石化
000987	金融控股
000988	激光设备
000989	中药Ⅲ
000990	煤化工
000993	水力发电
000995	白酒Ⅲ
000996	汽车经销商
000997	其他计算机设备
000998	种子
000999	中药Ⅲ
001201	生猪养殖
001202	原材料供应链服务
001203	铁矿石
001205	航运
001206	生活用纸
001207	炭黑
001208	线缆部件及其他
001209	非运动服装
001210	热力服务
001696	其他通用设备
001872	港口
001896	火力发电
